aaa,9909709,8245,75,167
aab,9996634,8959,190,317
aac,9778952,8575,36,77
aad,9905827,9748,111,296
aae,9935819,7784,59,135
aaf,9743906,8406,126,221
aag,9814818,9032,26,39
aba,9767146,8813,83,126
abb,9919393,8087,155,240
abc,9929961,9895,32,98
abd,9893841,7604,89,174
abe,9915472,10316,8,21
abf,9806918,7503,60,108
abg,9548885,10744,11,46
aca,9998403,9847,119,210
acb,9998228,8203,189,331
acc,9312996,8123,139,331
acd,9892468,8182,259,741
ace,9635191,10599,252,330
acf,9537036,10214,7,17
acg,9682365,9781,76,218
ada,9819652,7916,6,15
adb,9851577,8989,5,7
adc,9992694,9175,286,538
add,9719792,9714,244,380
ade,9889712,10556,139,300
adf,9829382,8456,165,219
adg,9504955,11393,48,100
aea,9841528,7879,122,194
aeb,9728979,8581,276,464
aec,9989897,9750,139,240
aed,9966400,6857,84,140
aee,9890157,9710,159,301
aef,9772203,8779,65,160
aeg,9997664,8463,203,451
afa,9767500,9276,96,153
afb,9918272,9497,87,120
afc,9925380,8530,110,262
afd,9929190,7909,212,333
afe,9943164,9721,21,79
aff,9947066,7961,17,67
afg,9995297,9622,118,223
aga,9817724,7968,375,644
agb,9887227,7513,51,92
agc,9778528,8203,139,229
agd,9833481,10049,14,51
age,9981492,9495,17,50
agf,9537095,8559,590,1193
agg,9741042,10100,118,191
baa,9950926,9594,412,825
bab,9929902,7943,5,10
bac,9942301,8453,224,426
bad,9828085,8560,124,190
bae,9939962,8712,120,239
baf,9771127,8391,6,17
bag,9576963,6878,38,59
bba,9963330,8257,19,45
bbb,9907749,8678,447,914
bbc,9778282,8403,81,128
bbd,9811926,8459,392,535
bbe,9959556,9514,183,315
bbf,9603349,7522,214,340
bbg,9918474,9236,30,60
bca,9833072,9735,169,314
bcb,9451877,8846,202,316
bcc,9944674,10041,144,256
bcd,9893049,7625,100,226
bce,9792142,8443,199,358
bcf,9686675,8691,81,247
bcg,9921468,8376,263,479
bda,9964465,8572,123,257
bdb,9585102,7021,95,141
bdc,9574782,10287,197,346
bdd,9841490,8306,40,117
bde,9975374,9511,191,257
bdf,9815198,9139,223,552
bdg,9943866,7803,80,127
bea,9930083,8157,229,304
beb,9954446,9122,94,246
bec,9998556,8280,17,31
bed,9794112,8979,266,499
bee,9824146,8772,47,113
bef,9913717,7927,79,115
beg,9921822,9804,1295,2676
bfa,9525663,8419,22,52
bfb,9795356,8641,38,79
bfc,9945560,7870,185,265
bfd,9938200,8869,97,144
bfe,9994810,7632,94,230
bff,9953917,8040,35,84
bfg,9697065,8841,36,51
bga,9796452,9298,152,334
bgb,9524630,7537,42,112
bgc,9921291,9731,88,143
bgd,9892246,8320,19,59
bge,9834036,10461,291,520
bgf,9934884,7851,176,331
bgg,9545415,8111,146,242
caa,9940266,8423,128,263
cab,9931826,8221,26,89
cac,9930947,9813,92,186
cad,9864954,8108,76,237
cae,9681513,8750,74,186
caf,9900589,7367,119,214
cag,9903076,10202,161,337
cba,9517592,10863,259,420
cbb,9881033,9146,123,225
cbc,9881963,8873,159,323
cbd,9951765,8664,31,63
cbe,9930145,8294,165,245
cbf,9964968,8714,191,362
cbg,9635801,9450,16,53
cca,9653317,7822,39,52
ccb,9175552,9830,13,60
ccc,9774967,8583,127,291
ccd,9927407,8284,5,5
cce,9961995,7630,53,99
ccf,9867332,9099,7,15
ccg,9525604,10338,143,281
cda,9870439,9363,9,22
cdb,9932427,9896,168,282
cdc,9990255,9225,181,454
cdd,9873706,9171,12,32
cde,9993149,9769,401,736
cdf,9879155,8265,567,1085
cdg,9981967,9783,34,82
cea,9630225,8233,117,208
ceb,9986198,8604,97,180
cec,9988385,9124,111,351
ced,9944819,7641,171,293
cee,9781406,8672,93,173
cef,9875085,8879,83,199
ceg,9564192,8851,49,84
cfa,9780792,9453,19,46
cfb,9968428,8663,51,117
cfc,9822922,9779,64,129
cfd,9839889,9625,7,19
cfe,9959877,8354,158,238
cff,9769758,10654,5,10
cfg,9812246,8685,283,398
cga,9929823,9861,118,192
cgb,9941367,9293,81,134
cgc,9997212,9123,128,215
cgd,9890503,8762,186,329
cge,9926846,8109,120,254
cgf,9798439,8662,494,853
cgg,9852764,7894,8,25
daa,9766536,8477,48,196
dab,9993677,9549,29,99
dac,9751866,8440,108,217
dad,9885569,8493,119,264
dae,9917502,9252,338,547
daf,9809700,8151,31,93
dag,9841412,8524,137,190
dba,9947704,9508,159,277
dbb,9937212,9500,20,42
dbc,9971707,7168,73,101
dbd,9862999,8700,156,304
dbe,9908631,7958,23,53
dbf,9818607,9036,5,11
dbg,9697014,8966,147,265
dca,9680741,10004,44,91
dcb,9907668,7970,5,9
dcc,9892037,8484,72,139
dcd,9992841,7972,51,120
dce,9866994,9413,211,347
dcf,9792276,9184,180,265
dcg,9892537,9633,232,411
dda,9841506,9630,86,177
ddb,9810005,9735,8,22
ddc,9863758,8106,42,107
ddd,9913244,9652,142,257
